drug1,drug2,ddi,pca_max_0,pca_max_1,pca_max_2,pca_max_3,pca_max_4,pca_max_5,pca_max_6,pca_max_7,pca_max_8,pca_max_9,pca_max_10,pca_max_11,pca_max_12,pca_max_13,pca_max_14,pca_max_15,pca_max_16,pca_max_17,pca_max_18,pca_max_19,pca_max_20,pca_max_21,pca_max_22,pca_max_23,pca_max_24,pca_max_25,pca_max_26,pca_min_0,pca_min_1,pca_min_2,pca_min_3,pca_min_4,pca_min_5,pca_min_6,pca_min_7,pca_min_8,pca_min_9,pca_min_10,pca_min_11,pca_min_12,pca_min_13,pca_min_14,pca_min_15,pca_min_16,pca_min_17,pca_min_18,pca_min_19,pca_min_20,pca_min_21,pca_min_22,pca_min_23,pca_min_24,pca_min_25,pca_min_26
CID000002725,CID000013342,0.0,-2.3832096669175913,-0.06690412032257584,0.05115332877555005,0.05814515416212568,0.39850827354072516,0.21527102080608476,-0.26781376456955386,0.6360954610416535,0.07114500635225862,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.4624834617688446,0.14835770408041382,0.1468493849341533,0.7891163185101256,0.5309196720705701,0.10659603099849645,0.010148929487864694,1.1985394134322434,-0.09195651404689445,0.11891123321658972,-0.06212775062188369,0.06638885256767481,-0.08009979922625257,0.09528015752867575,-2.554957837121593,-0.5487326944192529,0.051082571561467324,-0.08462503238774916,0.07642306671533554,0.09873427930385692,-0.42636204860931814,0.2852578860724252,-0.062445046816467425,-0.15532210210455885,-0.6212193845441415,-0.2557739655755614,-0.16855974993670964,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.3663496730506055,-1.0911906418802146,-1.021989096228325,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.09132981633587085,-0.19552195690748045
CID000002802,CID000013342,0.0,-2.554957837121593,-0.06690412032257584,0.05371522069440527,0.05814515416212568,0.39850827354072516,0.13185155968324988,-0.26781376456955386,0.6360954610416535,-0.012049753089851102,0.19340325757366938,0.35943272118749314,0.1260476976962995,0.10058812984556996,0.0027622666325616257,-0.013900450489648143,-0.14503886741437072,-0.03697198947226134,-0.06263526787148822,0.13265360742692495,0.10195318949618723,-0.07689541705225345,-0.15060614420579516,0.048886365876917276,0.1371544219192115,-0.11236343153708184,-0.02476663058571017,-0.16769382464915528,-2.6311364789519933,-0.5222554682803228,0.051082571561467324,-0.009285050837842534,0.06810642399365063,0.09873427930385692,-0.3407092055299949,0.270741899611774,-0.062445046816467425,0.002617109071800461,0.095893060718614,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.3663496730506055,0.10659603099849645,0.010148929487864694,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000002083,CID000013342,0.0,9.908401853323593,-0.06690412032257584,0.12238354852238395,0.05814515416212568,0.39850827354072516,0.09873427930385692,0.04127607404498468,0.6360954610416535,-0.062445046816467425,0.3622510233379142,0.6910934097025825,0.400425100248517,0.09034834787576329,0.22624528921129833,-0.09677055084999484,-0.10536371809427514,-0.06617575440385326,-0.16136537287649222,0.10659603099849645,0.03029081007491676,-0.08697858555304981,-0.06640293874060746,0.0104391952248451,0.014403676540388233,0.011336168635535361,0.0037755246391996643,-0.043333798291855866,-2.554957837121593,-0.4941386834024916,0.051082571561467324,0.02432372715001035,0.14419665886596464,0.0093194895567482,-0.26781376456955386,-0.004870260914254156,-0.33155700277674277,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.21916428306899907,-0.3663496730506055,0.10290145636446138,0.010148929487864694,-0.08836531029093174,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000004034,CID000013342,0.0,-2.5473754800326454,-0.06690412032257584,0.05188359059685675,0.05814515416212568,0.39850827354072516,0.2039620007776381,-0.26781376456955386,0.6360954610416535,0.06216333337848151,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.4168505845750774,0.13626641133394918,0.12457475907759342,0.7195718973699211,0.5005909226373335,0.10659603099849645,0.010148929487864694,1.1203667898808358,-0.09138719882454906,0.10839904092082095,-0.010859331304825387,0.03338698287037409,-0.022178676477794645,0.09079822180171035,-2.554957837121593,-0.5449371567728969,0.051082571561467324,-0.07921715456388098,0.07583663376306991,0.09873427930385692,-0.41719799670282826,0.29242012203004575,-0.062445046816467425,-0.12558703004159552,-0.5587354073635967,-0.21754163011620287,-0.1433649982853092,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.3663496730506055,-1.0111023002629815,-0.9441329004129319,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000003899,CID000013342,0.0,-2.554957837121593,-0.06690412032257584,0.051082571561467324,0.05814515416212568,0.39850827354072516,0.13812615414467802,-0.26781376456955386,0.6360954610416535,-0.062445046816467425,0.07841781996582944,0.35943272118749314,0.11515131639721476,0.0927342176248235,0.02733417757556119,0.024826606856549575,-0.15282108803033245,-0.05755184758366545,-0.0456005052984791,0.10659603099849645,0.042870428879930506,-0.056070779394991666,-0.11515418126579362,0.02869359262427397,-0.034424413685069204,0.0569187016516461,-0.04444115735178552,-0.015225731635894763,-2.6258941005548726,-0.4878881028799261,0.049594318560157453,-0.047718898417537264,0.0783001260824806,0.09873427930385692,-0.3020268899902685,0.23723534208323205,-0.08574219061990897,0.002617109071800461,0.1279815320067818,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.3663496730506055,0.07500977314197763,0.010148929487864694,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000002764,CID000013342,0.0,9.908202656671651,-0.06690412032257584,0.11823004037351281,0.05814515416212568,0.39850827354072516,0.09873427930385692,0.04209961999444836,0.6360954610416535,-0.062445046816467425,0.3680524760227929,0.6843582954448583,0.3949533277385909,0.08069355163768015,0.2294623064741549,-0.11507897581016611,-0.11496182345394973,-0.06617575440385326,-0.149787468430212,0.10659603099849645,0.02390175493404169,-0.08515821808876516,-0.0664784021570855,0.0015914646190756596,0.035526418838859146,0.02113191044815162,0.01283292437363542,-0.021278599381825105,-2.554957837121593,-0.46872831914958407,0.051082571561467324,0.02760918623472466,0.1364801676483479,0.014085581304174265,-0.26781376456955386,-0.005910171544063852,-0.33036864688544887,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.2600786774042551,-0.3663496730506055,0.0851421511718877,0.010148929487864694,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000004585,CID000013342,0.0,10.134492459474812,-0.06690412032257584,0.051082571561467324,0.05814515416212568,0.39850827354072516,0.1234693240795705,-0.23623505687082602,0.6360954610416535,0.6224855312671265,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.13482734900131785,0.48005833924518904,1.8253378833060423,2.606785900560526,0.10659603099849645,0.010148929487864694,-0.08697858555304981,0.777708153946288,-0.17953017615694,-0.16290570779451358,0.5065540257937573,-0.04233270350333233,0.37118983817126355,-2.554957837121593,-0.42544604988633744,-0.1770133206365414,-0.4927610552459063,0.1778415749832113,0.09873427930385692,-0.26781376456955386,0.050056565853874656,-0.062445046816467425,-0.5007940904057087,-0.8790749386985935,-0.5972751507359317,-0.514272343084804,-1.2360201152454449,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.3663496730506055,-1.3875098681168867,-1.321076172878323,-2.1982172739069776,-0.3263328321208734,-0.46435676403473247,-0.3174483868537973,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000004171,CID000013342,0.0,9.91207183759414,-0.06690412032257584,0.11365534175845814,0.05814515416212568,0.39850827354072516,0.09873427930385692,0.056078611566944436,0.6360954610416535,-0.062445046816467425,0.23683273181259573,0.702494719967642,0.37383258751284265,0.04886904780071559,0.24552453240312866,-0.045360931263087156,-0.09014459488058457,-0.06617575440385326,-0.14038274548630908,0.10659603099849645,0.018891014794820186,-0.08344115550529174,-0.06189124408852713,0.0012843611685840889,-0.003278554053477385,0.02054426002781258,-0.0028692844066753424,-0.04866635435743355,-2.554957837121593,-0.4713266148357866,0.051082571561467324,-0.0015999160427075648,0.13904357663194902,0.019679457064752146,-0.26781376456955386,0.00441946662851813,-0.3646490485149715,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.20705017554004307,-0.3663496730506055,0.09744620854361424,0.010148929487864694,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000003463,CID000013342,0.0,-2.554957837121593,-0.06690412032257584,0.051082571561467324,0.05814515416212568,0.39850827354072516,0.13671529909094002,-0.2565971934053786,0.6360954610416535,-0.062445046816467425,0.005815733923631175,0.35943272118749314,0.11315765005825362,0.024053758978321422,0.12903435569917168,0.06439909188847913,-0.10446130763535978,-0.05756912873715916,-0.060442063174728666,0.10659603099849645,0.05247827764427836,-0.07837390411565817,-0.13024399662992628,0.032460917631740915,-0.08341234571305292,0.015857797332075207,-0.05564243541912273,0.10064428285794587,-2.630081925080791,-0.48164395146958683,0.049734425199600245,-0.06936402584530857,0.0731897727687065,0.09873427930385692,-0.26781376456955386,0.2514459689683731,-0.10852774374539084,0.002617109071800461,0.17771865083638919,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.3663496730506055,0.10650074871357423,0.010148929487864694,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
CID000003696,CID000013342,0.0,10.22557111717838,-0.06690412032257584,0.051082571561467324,0.05814515416212568,0.39850827354072516,0.26096528636441085,-0.2676013322606866,0.6360954610416535,0.7694096125198345,0.002617109071800461,0.35943272118749314,-0.02815909731723918,-0.018647927967556863,-0.5841650297433999,0.17363298736659127,0.45867589292868505,0.35628879108638356,-0.3663496730506055,0.10659603099849645,0.18827718546562744,0.7720969091083045,-0.10249468906761361,0.09827126936722069,0.029799910059039023,-0.09908955469317209,0.05997080168612077,-0.011166322238431642,-2.554957837121593,-0.3575485463114869,-0.207243703115175,-0.7307490744200238,-0.12734910797915516,0.09873427930385692,-0.26781376456955386,-0.10411188514781884,-0.062445046816467425,-1.2272824687557515,-3.123896113277432,-1.3263290027916577,-0.56622029333194,-0.6912878346348248,-0.1869725020871466,-0.368791702154073,-0.06617575440385326,-0.6419180976065647,-0.22454043020855474,0.010148929487864694,-0.08697858555304981,-0.3263328321208734,-0.17953017615694,-0.16290570779451358,-0.20459259292905807,-0.08009979922625257,-0.19552195690748045
